Attendance,Study Hours,Homework Completion,Test Scores,SES,Extracurricular Activities,Parent Involvement,Tutoring,Sleep Hours,Health Conditions,Final Grade
80,28,94,53,Middle,1,High,Yes,9,None,67.69999999999999
92,28,82,99,Low,0,Medium,No,6,None,71.5
97,19,75,72,Low,3,High,Yes,9,Severe,68.75
91,23,96,52,Low,2,Low,Yes,7,Severe,56.75000000000001
70,21,95,64,Middle,2,Low,No,8,None,59.45
77,17,84,95,High,0,Low,No,8,None,71.95
91,17,92,98,Low,2,High,No,8,Severe,72.25
73,27,86,70,Low,4,High,No,8,None,69.55
89,17,81,86,Low,0,Low,Yes,8,Severe,64.05
76,22,86,57,Low,0,High,No,6,Severe,55.0
89,11,82,74,Middle,4,High,Yes,8,Mild,72.15
96,20,96,61,High,1,Medium,No,7,Severe,61.7
88,24,86,94,High,0,Medium,Yes,6,Severe,72.0
85,29,100,73,Low,1,Low,Yes,7,Mild,69.15
81,19,87,75,Middle,0,Medium,Yes,7,Severe,58.85
93,10,77,93,High,1,Low,No,6,Mild,69.4
74,26,97,98,High,1,High,No,7,None,80.1
90,17,79,87,Low,4,High,Yes,8,None,77.14999999999999
78,21,84,65,Middle,2,High,Yes,9,Mild,67.15
87,21,86,55,High,2,Low,Yes,9,Mild,66.35
85,25,91,85,Middle,0,Medium,No,9,Severe,63.95
86,27,87,61,Middle,0,Low,Yes,9,None,64.65
95,12,96,83,Low,3,Low,No,6,Severe,64.1
92,19,82,90,High,0,Low,No,8,None,73.55000000000001
71,29,79,55,High,1,Low,No,9,Mild,60.75
91,17,96,64,Middle,4,High,No,6,Mild,68.85000000000001
84,28,88,63,High,0,Low,No,8,Mild,67.30000000000001
96,22,100,69,High,4,Low,No,6,None,73.4
81,23,87,62,Middle,2,Low,Yes,7,None,60.95
99,26,75,57,Low,1,Medium,Yes,7,Severe,56.39999999999999
99,26,83,84,High,0,High,Yes,6,None,81.10000000000001
88,11,96,77,High,2,Low,No,6,Severe,62.650000000000006
96,19,85,83,High,2,High,Yes,7,Mild,78.85
89,10,79,76,Low,4,High,Yes,9,Severe,66.9
71,25,100,88,Middle,3,Medium,Yes,6,Mild,72.85
95,24,92,56,Low,2,Medium,No,7,None,60.2
92,28,80,100,Low,2,Medium,No,7,Mild,71.4
81,14,92,81,Low,2,Medium,Yes,8,None,67.4
72,23,91,60,High,0,Low,Yes,8,None,66.35
92,18,88,80,High,2,Medium,Yes,7,Mild,72.5
98,18,81,56,High,3,High,No,9,Mild,72.1
79,11,88,65,Middle,0,High,Yes,9,Severe,60.650000000000006
97,12,87,63,Middle,3,High,No,8,None,68.7
85,23,87,92,High,0,Medium,No,9,Mild,74.75
94,23,94,64,Low,2,High,No,7,Severe,62.55
81,28,93,60,Middle,4,Low,No,7,None,62.8
72,20,89,55,Middle,0,Medium,Yes,8,None,58.7
76,25,90,82,High,3,Medium,Yes,8,Mild,77.05
89,13,86,76,Low,0,Medium,Yes,8,Mild,66.05
93,24,87,84,Low,2,Medium,No,8,Mild,69.2
92,13,96,64,Middle,4,Medium,No,8,None,65.05000000000001
97,24,90,70,Middle,0,High,Yes,9,Mild,74.4
79,12,76,73,High,3,Low,No,8,Severe,60.900000000000006
71,10,85,50,Low,2,High,No,9,Severe,50.7
94,10,93,55,High,3,Low,No,7,Severe,59.400000000000006
